Year,Rank,Title,Author,Review,Description,Price,Tags,Ratings,Genre,barcode,publisher,date
2017,65,낭만적 연애와 그 후의 일상(리커버:K)(양장본 HardCover),알랭 드 보통,364,알랭 드 보통 장편소설,"12,150",소설 사랑 장편소설 낭만주의 철학 에세이 유혹 ,9.1,"['국내도서', '소설', '영미소설', '영미소설일반']",9788956608846,은행나무,2016년 08월 25일 출간
2017,66,너의 이름은. Another Side: Earthbound(엔티노벨(NT Novel)),신카이 마코토,159,,"6,300",로맨스소설 영화원작소설 특별 판 여고생 애니메이션 시골 마을 ,9.7,"['국내도서', '소설', '일본소설', '판타지소설']",9791133437900,대원씨아이,2017년 01월 15일 출간
2017,67,나의 문화유산답사기. 9: 서울편(1),유홍준,197,만천명월 주인옹은 말한다,"16,650",장희빈 답사여행 조선 창덕궁 종묘 게리 ,9,"['국내도서', '역사/문화', '역사기행', '문화유적답사']",9788936474393,창비,2017년 08월 21일 출간
2017,68,참 소중한 너라서(있는 그대로),김지훈,146,지금도 충분히 아름다운 당신에게,"13,320",위로 사랑 인간관계 베스트셀러 감성에세이 소네트 ,9.1,"['국내도서', '시/에세이', '나라별 에세이', '한국에세이']",9788925559650,진심의꽃한송이,2018년 12월 05일 출간
2017,69,센서티브(양장본 HardCover),일자 샌드,157,남들보다 민감한 사람을 위한 섬세한 심리학,"12,600",감정 인정 재능 예민함 과학 잡지 인풋 ,9,"['국내도서', '인문', '심리학', '교양심리']",9791130611099,다산지식하우스,2017년 02월 09일 출간
2017,70,그럴 때 있으시죠?,김제동,291,"김제동과 나, 우리들의 이야기","14,220",불안 유시민 공감에세이 신해철 게스트 하우스 손석희 ,9.5,"['국내도서', '시/에세이', '나라별 에세이', '한국에세이']",9791195906802,나무의마음,2016년 10월 25일 출간
2017,71,주진우의 이명박 추격기,주진우,199,저수지를 찾아라,"13,500",농협 정치에세이 현대차 시사 클리어 보도 ,8.9,"['국내도서', '정치/사회', '사회학', '사회학일반', '시사/사회비평']",9791156757016,푸른숲,2017년 08월 16일 출간
2017,72,소년이 온다,한강,459,한강 장편소설,"12,600",소설 한국소설 시신 한국근현대사 연행 5·18민주화운동,9.6,"['국내도서', '소설', '한국소설', '한국소설일반']",9788936434120,창비,2014년 05월 19일 출간
2017,73,위험한 비너스,히가시노 게이고,158,히가시노 게이고 장편소설,"13,320",미스터리 일본 소설 일본미스터리소설 서스펜스 명문가 시마 ,9.2,"['국내도서', '소설', '일본소설', '일본소설일반']",9788972758242,현대문학,2017년 06월 30일 출간
2017,74,말투 하나 바꿨을 뿐인데(20만 부 기념 리커버 스페셜 에디션),나이토 요시히토,79,"일,사랑,관계가 술술 풀리는 40가지 심리 기술","11,700",인간관계 심리학 대화법 심리 말투 법칙 ,8.2,"['국내도서', '자기계발', '인간관계', '인간관계일반']",9791186665503,유노북스,2017년 03월 17일 출간
